Construct Name,Subject Name,Question,Correct Answer,Incorrect Answer,Misconception,MisconceptionId
Determining the power of ten when converting to scientific notation,Scientific Notation,"Convert \(75,000,000\) into scientific notation.",\( 7.5 \times 10^{7} \),\( 7.5 \times 10^{8} \),When writing standard form does not give the correct power of ten,1571
Complete a pattern by reflecting across a given line of symmetry,Pattern Symmetry,"On a grid, a pattern is shown on one side of a blue vertical line. Your task is to reflect the pattern onto the other side, maintaining symmetry. Which pattern correctly completes the reflection? ![Pattern composed of triangles and squares on left side of a vertical blue line.]() Select the correct reflection from the options below:","![The pattern has been accurately reflected over the blue vertical line, with shapes maintaining their orientation and distance from the line.]()","![The pattern has been translated directly to the right, crossing the blue vertical line but maintaining the same orientation without mirroring.]()",Translates rather than reflects across a line of symmetry,1572
Scaling Perimeters of Polygons,Geometry,"If the perimeter of a regular hexagon is scaled by a factor of 3, what is the new perimeter if the original perimeter is \( 24 \, \text{units} \)?","\( 72 \, \text{units} \)","\( 18 \, \text{units} \)",When scaling the perimeter multiplies the number of sides by the scale factor,1573
Geometry of Cuboids and Identifying Planes,3D Geometry Visualization,"Consider a cuboid with dimensions 4 cm by 3 cm by 5 cm. Imagine a triangle inscribed on one of its rectangular faces. If the face has the dimensions 4 cm by 3 cm, what is the area of the inscribed right triangle?","The area of the right triangle is \( \frac{1}{2} \times 4 \, \text{cm} \times 3 \, \text{cm} = 6 \, \text{cm}^2 \).","The perceived area of the triangle might be miscalculated as if considering an incorrect orientation or plane, resulting in \( 10 \, \text{cm}^2 \). This could result from imagining a different triangle spanning more than one face.",Struggles to visualise 2D triangles in a cuboid,1574
Combined probability of two independent events,Probability,A die is rolled and a coin is flipped. What is the probability of getting a 4 on the die and a head on the coin?,\(\frac{1}{12}\),\(\frac{1}{8}\),Includes too many possibilities when calculating a combined event in probability,1575
Related Calculations Using Multiplicative Relationships,Application of Multiplication and Division,"An apple costs \(2\) dollars. If we need to find out the cost for \(8\) apples, what operation should be performed and what is the total cost?","The operation should be multiplication, so the total cost is \(2 \times 8 = 16\) dollars.","If divided instead of multiplied, the operation is \(2 \div 8 = 0.25\) dollars (misunderstood as the cost for each apple, resulting in the totally incorrect interpretation).",Divides rather than multiplies in a related calculation questions,1576
Multiply 3 digit integers by 2 digit integers using the grid method,Written Multiplication,"If you use the grid method to calculate \( 243 \times 17 \) what should replace the star? \begin{tabular}{|c|c|c|c|}
\hline\( \times \) & \( 200 \) & \( 40 \) & \( 3 \) \\
\hline \( 10 \) &   & \(\bigstar\) &  \\
\hline \( 7 \) &  \\
\hline
\end{tabular}",\( 400 \),\( 50 \),Adds instead of multiplies when using grid method,1577
Understanding division of fractions by whole numbers,Fractions and Division,Divide \(\frac{3}{4}\) by 2. What is the result?,\(\frac{3}{8}\),\(\frac{3}{2}\),"When dividing a fraction by an integer, subtracts the integer from the denominator",1578
Convert a given large or small number into standard form,Standard Form (Scientific Notation),Convert the number \( 520000 \) into standard form.,\( 5.2 \times 10^5 \),\( 52 \times 10^4 \),Does not realise that in standard form the decimal we use must be between 1 and 10,1579
Interpret and construct cumulative frequency diagrams for grouped data,Statistics,"A group of students were surveyed about the number of hours they study per week. The data collected is grouped into the following intervals: \(0-5, 6-10, 11-15, 16-20, 21-25\). The frequencies for each interval are: \(5, 10, 15, 8, 2\) respectively. Draw a cumulative frequency diagram for this data.","The cumulative frequency should be plotted on the vertical axis, while the upper boundary of each interval should be on the horizontal axis. The cumulative frequencies are: \(5, 15, 30, 38, 40\). Plot these cumulative frequencies against the upper boundaries \(5, 10, 15, 20, 25\).","The frequencies are incorrectly plotted on the horizontal axis and the upper boundary on the vertical axis. Students may think they should plot the points as \( (5, 5), (10, 15), (15, 30), (20, 38), (25, 40) \) with the wrong axes labeled and leading to an incorrect graph presentation.","When drawing a cumulative frequency diagram, thinks you plot the frequency on the horizontal axis",1580
"Recognize the difference between front, side, and plan views in 3D shapes",Geometry and 3D Visualization,"The diagram shows three views of a 3D shape: the front view, the side view, and the plan (top) view. 
The shape is a rectangular prism. The front view shows a rectangle that is \( 4 \) units tall and \( 2 \) units wide. 
The side view shows a rectangle that is \( 4 \) units tall and \( 3 \) units wide. 
What is the width of the rectangular prism (the dimension corresponding to the depth)?",\( 3 \) units,\( 2 \) units,Thinks that two side views are interchangeable,1581
Identify the pattern in a linear sequence and generalize it,Linear Sequences (Identifying Patterns),"Consider the following sequence: \( 4, 8, 12, 16, \ldots \). How many terms would you calculate to find the 20th term in this sequence?",\( 80 \),\( 400 \),Thinks terms in linear sequence are in direct proportion,1582
Understanding Coordinates in a Cartesian Plane,Coordinate Geometry,"Plot the points \( A(3, 4) \), \( B(7, 2) \), and \( C(-2, -5) \) on a Cartesian plane and then find the distance between point A and the origin.",\( 5 \mathrm{~units} \),\( \sqrt{25} \mathrm{~units} \),Does not recognise the origin as the starting point for coordinates,1583
Reflecting a Point Across a Horizontal Line,Coordinate Geometry,"Given a point \( P(4, 7) \), reflect it across the line \( y = 3 \). What are the coordinates of the reflected point, \( P' \)?","\( P'(4, -1) \)","\( P'(4, 3) \)",Believes if a point is reflected in the line y=b then the y coordinate of the point will become 'b',1584
Solving equations for transportation scenarios,Algebraic Problems,An airplane travels at a constant speed of \(600\) miles per hour. How far will it have travelled after \(3\) hours?,\( 1800 \) miles,\( 200 \) miles,Believes distance = speed/time,1585
Interpreting Graphs,Coordinate Geometry,"The graph below shows a parabola representing the function \( y = x^2 \). What is the value of \( y \) when \( x = 4 \)? ![A graph showing a parabola opening upwards with vertex at (0,0) passing through points like (1,1) and (4,16)]()",\( 16 \),\( 4 \),"When asked to read a value from a graph, thinks they give the corresponding value on the other axis, rather than reading from the graph",1586
Understanding Number Line Division,Fractions and Number Lines,A number line is shown with tick marks between the numbers 0 and 1. There are a total of 6 tick marks between 0 and 1. What fraction does the second tick mark represent?,\(\frac{2}{6}\) or simplified \(\frac{1}{3}\),\(\frac{1}{6}\),when reading a dash on a number line counts 1 dash too few when working out the divisions,1587
Identify alternate angles,Angle Relationships in Transversals,"Cece is studying angles created by the intersection of three lines. Two of them, line \( a \) and line \( b \), are intersected by line \( t \). Line \( a \) and line \( b \) are not parallel. Identify which of the following angle pairs are alternate angles: \( \angle 1 \) and \( \angle 2 \), \( \angle 3 \) and \( \angle 4 \), or \( \angle 5 \) and \( \angle 6 \)? ![A diagram showing line `t` transversal to non-parallel lines `a` and `b`, creating six angles labeled 1 through 6.]()",\(\angle 1\) and \(\angle 2\) form a pair of alternate angles because they are on opposite sides of the transversal and between the other two lines.,No pairs of alternate angles exist because angles on non-parallel lines cannot be alternate.,Thinks only angles on parallel lines can be alternate,1588
Basic Arithmetic Operations,Understanding Division and Subtraction,"If you have 12 apples and you want to divide them equally among 3 friends, how many apples would each friend receive?",\( \frac{12}{3} = 4 \),\( 12 - 3 = 9 \),Thinks the division sign means to subtract,1589
Interval notation for solutions of inequalities,Algebraic Manipulation and Inequalities,"Solve and express in interval notation:
\[
x^2 - 9 \leq 0
\]

How should you represent the solution set using correct interval notation?","\([-3, 3]\)",\(-3 \leq x \leq 3\),Believes any two inequalities can be combined into a double inequality,1590
Understanding significant figures to express measurements appropriately,Measurement,"When recording the measurement of a chemical solution, you see that the balance displays \( 0.0567 \) grams. How should you record this measurement to one significant figure?",\( 0.06 \) grams,\( 0.057 \) grams,"Rounds to the nearest hundredth, rather than one significant figure",1591
Use the product rule to calculate the number of possible outcomes in complex scenarios,Combinatorics and Counting Principles,"Thomas is choosing an outfit for his evening gala. He has 3 different shirts, 2 pairs of pants, and 4 pairs of shoes. How many different outfits can Thomas create with these options?",There are \(3 \times 2 \times 4 = 24\) different outfits that Thomas can create.,"There are 3 different outfits Thomas can create, as he only needs to choose one shirt, one pair of pants, and one pair of shoes.",Thinks the number of items give the number of different possible arrangements rather than using the product rule for counting,1592
Simplify algebraic fractions by factorizing composite expressions,Algebraic Fractions and Rational Expressions,Simplify the following expression: \( \frac{x^2 - 9}{x^2 + 2x - 15} \),\( \frac{x-3}{x+5} \),\( \frac{x^2 - 9}{x^2 + 2x - 15} \),"When simplifying an algebraic fraction, only looks for number factors",1593
Proportions in a pie chart,Data representation and interpretation,"A survey of 360 students revealed the following number of students with different favorite fruits: 90 for apples, 60 for bananas, 120 for grapes, and 90 for oranges. If you create a pie chart representing this data, what would be the angle of the sector for apples?","\(90^\circ\) (since 90 out of 360 total students have apples as a favorite fruit, the proportion is \( \frac{90}{360} = \frac{1}{4} \), thus the angle is \(\frac{1}{4} \times 360^\circ = 90^\circ\))","\(90^\circ\) (from misunderstanding, assuming the sector's angle is directly equal to the frequency value, without considering the total)",Believes the proportion for a pie chart sector is equal to the frequency,1594
Identify the first multiple of a number,Factors and Multiples,What is the smallest multiple of \( 9 \) that is greater than \( 0 \)?,\( 9 \),\( 18 \),Believes the first multiple of a is 2a,1595
Express one quantity as a percentage of another,Percentages in Measurements,"A company has \( 10 \) working days in a biweekly period. If an employee was absent for \( 1 \) day, what percentage of the working days was the employee present?",\( 90\% \),\( 100\% \),Has found the total as a percentage of the amount being asked,1596
Solve multi-step equations with negative coefficients,Solving Linear Equations,Solve for \( x \): \( -2x + 4 = -8 \),\( x = 6 \),\( x = -6 \),Believes multiplying two negatives gives a negative answer,1597
Solve linear equations with matching coefficients but different constants on both sides,Linear Equations,Solve for \( x \) in the equation \( 3x + 5 = 3x + 2 \).,This equation has no solution because subtracting \( 3x \) from both sides results in the false statement \( 5 = 2 \). The lines represented by the equations are parallel and never intersect.,"\( x = 0 \), due to the misconception that the solution occurs when variables match on both sides, disregarding the constants, even though they should not be equal.",Believes the solution to an equation with matching coefficients of variables on both sides will always be 0,1598
Understanding Division in Word Problems,Multiplication and Division,"Mary has 75 apples and wants to share them equally among 5 friends, including herself. How many apples will each person receive?",15 apples per person.,80 apples (by adding 75 and 5).,Adds rather than divides when answering worded problems,1599
INSERT TEXT HERE Compare data variability using variance and standard deviation INSERT TEXT HERE,INSERT TEXT HERE Variability and Dispersion in Data INSERT TEXT HERE,"INSERT TEXT HERE A company is analyzing production times for two of its machines. The summary statistics are as follows:

\[
\begin{tabular}{|c|c|c|}
\hline Machine & Mean Time (hours) & Standard Deviation (hours) \\
\hline Machine A & 3 & 0.5 \\
\hline Machine B & 4 & 0.2 \\
\hline
\end{tabular}
\]

Which machine has more consistent production times? INSERT TEXT HERE","INSERT TEXT HERE Machine B, because it has a lower standard deviation. INSERT TEXT HERE","INSERT TEXT HERE Machine A, because it has a lower mean time. INSERT TEXT HERE",Thinks a lower average means the data is more consistent,1600
Calculate percentage of an amount mentally where the percent is greater than 100,Percentages of an Amount,Determine \( 180 \% \) of \( 60 \) ?,\( 108 \),Percentages over \( 100 \) aren't valid,Does not understand that you can have percentages greater than 100%,1601
Understanding the Distance Formula in Coordinate Geometry,Coordinate Plane and Distances,"Consider two points, \(A(-1, 2)\) and \(B(3, -1)\). What is the distance between these two points?",The correct distance is \(\sqrt{(3 - (-1))^2 + (-1 - 2)^2} = \sqrt{4^2 + (-3)^2} = \sqrt{16 + 9} = \sqrt{25} = 5\).,"The incorrect answer, due to the misconception, would be \((3 - (-1)) + (-1 - 2) = 4 - 3 = 1\).",Believes the sum of change in x and change in y gives the distance between points,1602
Understanding and Interpreting Graphs,Kinematics,"A vehicle travels for a total of \(5\) seconds. The graph below shows the vehicle’s movement during this time. What is the total distance traveled by the vehicle?
- at \( t=0s \), the displacement is \(0 \, m\)
- at \( t=1s \), the displacement is \(3 \, m\)
- at \( t=2s \), the displacement is \(6 \, m\)
- at \( t=3s \), the displacement is \(6 \, m\)
- at \( t=4s \), the displacement is \(9 \, m\)
- at \( t=5s \), the displacement is \(12 \, m\)","The total distance traveled by the vehicle is \(12 \, m\), as calculated directly from the displacement graph, which shows the actual positions over time.","The total distance incorrectly calculated from the velocity-time graph interpretation would be \(3 \, m\), assuming speed or zero change was indicated at \(t=2s \, \text{and} \, t=3s\).",Confuses displacement-time graphs with velocity-time graphs,1603
INSERT TEXT HERE Convert between mm and cm,INSERT TEXT HERE Length Units,INSERT TEXT HERE How many centimetres are there in \( 1 \) millimetre?,INSERT TEXT HERE 0.1,INSERT TEXT HERE 10,Thinks there are 10 centimetres in 1 mm.,1604
Round numbers to the nearest integer,Rounding to Whole Numbers,What is the number \( \mathbf{549.95} \) rounded to the nearest integer?,\( 550 \),\( 540 \),"When rounding up from a 9, does not add one on to the digit to the left",1605
Factorise a quadratic expression in the form x² + bx + c,Factorising into a Double Bracket,"Factorise this expression, if possible:
\(
z^{2}+10z+24
\)",\( (z+4)(z+6) \),\( (z+4)(z+10) \),Believes the coefficent of x in an expanded quadratic comes from multiplying the two numbers in the brackets,1606
Understanding the Relationship Between Gradients of Perpendicular Lines,Analytical Geometry,"Given that line \( L_1 \) has a gradient of \( 2 \), find the gradient of a line \( L_2 \) that is perpendicular to \( L_1 \).",\( -\frac{1}{2} \),\( -2 \),Believes the gradient of perpendicular lines just have opposite signs,1607
Analyzing and identifying features of 3D geometric shapes,Geometric Properties of Solids,A rectangular pyramid (or square pyramid) is placed before you. How many edges does this pyramid have?,\( 8 \),\( 4 \),Believes parts of a 3D diagram that look straight class as edges,1608
Understanding Fractions and Decimal Representation,Fraction and Decimal Conversion,How do you enter the fraction \(\frac{5}{8}\) into your calculator to convert it to a decimal?,"Press the number 5, followed by a calculator button labelled \(\frac{\square}{\square}\), and then the number 8. Then press the equals button to show the decimal equivalent.","Press the number 5, followed by the decimal point button (.), and then the number 8.",Believes the decimal point button writes a fraction,1609
Factorizing quadratic expressions,Expanding and Factoring,"Factor the expression completely:
\( 2x^2 + 8x + 6 \)",The correct factorization is \( 2(x + 3)(x + 1) \).,"Thinking the expression factors as \( (2x + 3)(x + 2) \) due to misidentifying the common factor correctly, leading to an incorrect interpretation.",Misunderstands the concept of common factors in algebra,1610
Finding the centroid of a triangle given its vertices,Centroid of a Triangle,"Find the centroid of a triangle with vertices at \( (1, 2) \), \( (4, 6) \), and \( (5, -1) \).","\( \left( \frac{10}{3}, \frac{7}{3} \right) \) or approximately \( (3.33, 2.33) \)",Impossible as you can't have a decimal coordinate,Does not understand that coordinates can be decimals,1611
Graphing Inequalities on a Coordinate Plane,Coordinate Geometry,Consider the inequality \( y \leq 2x + 3 \). Shade the region that satisfies the inequality on the given graph.,The region below and including the line \( y = 2x + 3 \) should be shaded.,The region above and including the line \( y = 2x + 3 \) should be shaded.,Confuses the shaded and unshaded regions on an inequality diagram,1612
Construct a triangle using Side-Angle-Side,Geometry - Triangle Construction,"Using the Side-Angle-Side postulate, construct a triangle with side lengths 5 cm and 7 cm, and an included angle of 60 degrees. What tools should you use?","Ruler
Protractor","Ruler
Protractor
Compass",Believes constructing a triangle with given SAS requires a compass,1613
Recognizing factors within algebraic expressions,Algebraic Factoring,"Consider the algebraic expression \(6ab^2\). Emily claims that \(a\) is a factor of \(6ab^2\), while John believes that only \(2\) can be a factor because it is a number. Who do you agree with?","Both Emily and John are partially correct; \(a\) is indeed a factor, as well as the number \(2\). However, \(2\) is not the only numeric factor.","Only John, because factors can only be numbers, not variables.",Believes factors of algebraic terms/expressions will only be numbers,1614
Understand proportionality notation,Direct Proportional Relationships,"Given that variable \( y \) is directly proportional to variable \( x \), express the relationship between \( y \) and \( x \) using the symbol for proportionality.",\( y \propto x \),\( y = kx \),Does not know the symbol for proportionality ,1615
Calculate the probability of rolling a specific total,Probability with Dice,Two standard six-sided dice are rolled. What is the probability of getting a total sum of 8?,\( \frac{5}{36} \),\( \frac{2}{36} \),Fails to consider all possible outcomes,1616
Understanding Reciprocal Functions,Graphing Functions and Relations,Sketch the graph of the function \( y = \frac{1}{x} \). Describe the characteristics of the graph.,"The graph of \( y = \frac{1}{x} \) is a hyperbola with two branches, one in the first quadrant and one in the third quadrant. It has asymptotes at the x-axis and y-axis, and it is not a straight line.",The graph of \( y = \frac{1}{x} \) is a straight line passing through the origin.,Believes a reciprocal equation will have a linear graph,1617
Understanding Volume of a Cube,Geometry and Measurement,Calculate the volume of a cube with a side length of 4 units.,\( 4^3 = 4 \times 4 \times 4 = 64 \) cubic units,\( 4 \times 3 = 12 \) cubic units,Mixes up cubing and multiplying by 3,1618
Understanding Division of Decimals by Whole Numbers,Decimals and Division,\( 0.36 \div 3 = \),\( 0.12 \),\( 12 \),"When dividing a decimal by a whole number, ignores decimal point and just divides the digits",1619
Zero raised to a positive integer power,Exponentiation,Calculate \(0^3\).,\(0\),Undefined or error (due to the misconception that zero cannot be raised to a power),Believes zero cannot be raised to a power,1620
Divide proper fractions in the form: Fraction ÷ Integer,Dividing Fractions,"Calculate:  
\(\frac{7}{12} \div 3\)",\( \frac{7}{36} \),\( \frac{21}{36} \),"When dividing a fraction by an integer, multiplies both the numerator and denominator by the integer",1621
Understanding Percentage to Decimal Conversion,Converting Percentages to Decimals,"Sara and Liam are discussing the conversion from percentage to decimal.
Sara says \( 75\% = 0.075 \)
Liam says \( 75\% < 0.8 \)
Who is correct?","Only
Liam",Neither is correct,Divides by 1000 instead of 100 when converting a percentage to a decimal,1622
Calculate the mean as an average from a list of data,Introduction to Statistics,"What is the mean of these scores?  
\[
3, 0, 1, 4, 0, 2
\]",\( \frac{3+0+1+4+0+2}{6} \) resulting in a mean of \( 1.67 \),\( \frac{3+1+4+2}{4} \) resulting in a mean of \( 2.5 \),"When asked for the mean of a list of data, does not count any zeros in the data when working out what to divide by",1623
Convert from mixed number fractions to improper fractions,Converting Mixed Number and Improper Fractions,Convert \( 4 \frac{2}{7} \) to an improper fraction.,\( \frac{30}{7} \),\( \frac{8}{7} \),Multiplies the number of whole units by the numerator when converting from a mixed number to an improper fraction,1624
Arithmetic Sequences - Finding the nth Term,Algebra,A sequence follows the rule that each term is 3 more than the previous one. The first term (a_1) is 5. What is the nth term (a_n) of this sequence?,"The nth term (a_n) of the sequence can be expressed as:
\[ a_n = 5 + 3(n-1) = 3n + 2 \]","The student might incorrectly use the difference as an exponent, leading to:
\[ a_n = 5 + n^3 \]",Uses difference as index instead of coefficient in nth term rule,1625
Multiply 3 digit integers by 2 digit integers using long multiplication,Written Multiplication,"What is a correct way to set up this problem to solve it using long multiplication?
\[ 372 \times 49 \]",![372 multiplied by 49 set out to perform long multiplication. 49 is written under 372. The 4 of 49 is under the 7 of 372 and the 9 of 49 is under the 2 of 372.](),"![372 multiplied by 49 set out to perform long multiplication. 372 is written in 3 columns with 300 in the first column, 70 in the second column and 2 in the third column. 49 is written underneath this, with 40 under 70 and 9 under 2.]()",Has partitioned the digits when doing long multiplication,1626
Combining Ratios,Ratio and Proportion,Combine the ratios \( 2:3 \) and \( 4:5 \) to get a single ratio.,\( 8:15 \),\( 6:8 \),Believes ratios can be combined without equalizing common terms,1627
Multiply integers involving powers of 10 using standard algorithm,Standard Multiplication,Calculate the product of \( 800 \times 7 \). What is the result?,\( 5600 \),\( 560 \),"When multiplying involving a multiple of 10, gives an answer 10 times smaller than it should be",1628
Understanding Remainder in Division,Division and Remainders,What are the quotient and remainder when 47 is divided by 5?,"Quotient: 9, Remainder: 2","Quotient: 9, Remainder: 0.5",writes the remainder as the divisor divided by 10,1629
Write algebraic expressions with correct algebraic convention involving powers,Writing Expressions,Express the product \( a \times a \times b \times a \times b \times b \) in the simplest form using powers.,\( a^{3}b^{3} \),\( aababb \),Does not realize we can simplify a term that involves powers,1630
Identify the \(n\)th term of a quadratic sequence,Quadratic Sequences,"The sequence below follows a quadratic pattern:

\(1, 6, 15, 28, \ldots \)

What is the 5th term in this sequence?",\( 45 \),\( 66 \),When asked for a specific term in a sequence gives the term after,1631
Understanding decimal place values for conversion to percentages,Converting Decimals to Percentages,Convert \( 0.3 \) to a percentage.,\( 30 \% \),\( 3 \% \),"Believes a decimal with one significant figure is a multiple of 10 when converted to a percentage, regardless of place value",1632
Understanding rotation of coordinates on a Cartesian plane,Geometry,"A triangle is defined by the vertices \(A(2, 3)\), \(B(4, 1)\), and \(C(3, 5)\). Rotate the triangle 180 degrees around the origin. What are the new coordinates of the point A?","A'(-2, -3)","A'(3, -2)",When asked to rotate by 180 degrees rotates by 90 degrees,1633
Multiplying a Two-Digit Number by a Single-Digit Number Using a Multiple of 10,Multiplication with Adjustment for Mental Math,Lisa is trying to calculate 36 times 7 mentally. She multiplies 36 by 10 to get 360 and wants to adjust her result to find 36 times 7. What should her final answer be?,252,360,"When performing mental multiplication, multiplies accurately by a multiple of 10 but then does not know how to adjust their answer ",1634
Understanding the Slope Formula and Its Application to Line Segments,Finding the Gradient of a Line Segment in the Coordinate Plane,"Anna is trying to find the gradient of the line segment that connects the points (2, 3) and (8, 7) on a coordinate grid. She calculates the horizontal and vertical distances. What is the gradient of the line segment?",\( \frac{2}{3} \) (The correct calculation is \(\frac{7 - 3}{8 - 2} = \frac{4}{6} = \frac{2}{3}\)),\( 4 \) (This incorrect response comes from mistakenly calculating \(8 - 2 - (7 - 3) = 6 - 4 = 4\)),Believes gradient is the difference between the change in x and the change in y,1635
Design the nth term rule for an arithmetic sequence with a negative difference,Arithmetic Sequences (nth term),"Here are the first five terms of a sequence: \( 20, 15, 10, 5, 0, \ldots \). Find an expression for the \( n \)th term of this sequence.",\( 25 - 5n \),"Start with 25, every step subtract 5",Believes nth term rule can be given in words,1636
Understanding Fraction Representations,Interpreting Fractions and Decimals,Write the fraction \(\frac{7}{10}\) in words.,Seven tenths,Seven point ten,Has used the decimal point to separate numerator and denominator,1637
Distinguish between unique and repeated prime factors when determining prime factorization,Number Theory: Prime Factorization,Find the prime factorization of 36.,\( 2^2 \times 3^2 \),\( 2 \times 2 \times 3 \times 3 \),Counts repeated factors as two separate factors,1638
Expand two brackets with linear terms in the form (x + a)(x + b),Expanding Double Brackets,"Multiply out the brackets:  
\[(y-2)(y-9)\]",\(y^{2}-11y+18\),\(y^{2}+11y+18\),Believes adding two negatives gives a positive answer,1639
Rotation of a geometric figure around a point other than the origin,Transformation Geometry,"An object is a triangle with vertices at \( (3, 1) \), \( (5, 1) \), and \( (4, 3) \). It is rotated \( 90^{\circ} \) clockwise about the point \( (4, 2) \). What are the coordinates of the vertices after the rotation?","The vertices of the triangle after the rotation are \( (5, 2) \), \( (5, 4) \), and \( (3, 3) \).","The vertices of the triangle assuming rotation about the origin are \( (1, -3) \), \( (1, -5) \), and \( (3, -4) \).",Believes the centre of rotation is always the origin,1640
Combining like terms in polynomial expressions,Algebraic Simplification,"Simplify the following expression by collecting like terms:
\[
7y - 4y + 3y - 2y
\]",\(4y\),\(7y + 3y - 4y - 2y\),"When collecting like terms, only simplifies when there is an addition",1641
Understanding the properties of radicals and simplification of radical expressions,Algebra,"Sophie and Ryan are comparing two ways to simplify radical expressions.

Sophie says \( \sqrt{25} + \sqrt{4} = 7 \)

Ryan says \( \sqrt{25 + 4} = 7 \)

Who is correct?",Only Sophie,Both Sophie and Ryan,"When adding roots, adds the numbers under the roots",1642
Calculate the increased value from a percentage larger than 100%,Percentage Increase Calculations,A company decides to increase its original sales of 2000 by 150%. What is the new sales amount?,\5000 (since 2000 \times (1 + 1.5) = 5000),"\3000 (because the student may calculate 2000 \times 1.5 = 3000, forgetting to add the original amount)","Believes that when increasing by a percentage over 100, they do not need to add an extra 1 to the decimal multiplier for the original amount",1643
Simplifying expressions by collecting like terms and using the distributive property,Expanding and Simplifying Algebraic Expressions,"Expand and simplify the following by collecting like terms:
\[
2(k + l) + 3k + 4l
\]",\( 5k + 6l \),\( k^2 + l^2 \),Confuses collecting like terms with multiplication,1644
Add Volumes,Volume and Capacity Units,"If you have \(3\) litres of juice and you add another \(1500\) millilitres, what is the total volume in litres?",\(4.5\) litres,\(4.15\) litres,Thinks there are 10ml in a litre,1645
"Given information about one part, work out other parts",Sharing in a Ratio,"A recipe requires flour and sugar to be mixed in the ratio \( 2: 3 \). If you have \( 500 \, \mathrm{g} \) of flour, how much sugar do you need?","750 \, \mathrm{g}","1500 \, \mathrm{g}","In ratio question where one side of ratio is given, uses that as one part in ratio without dividing",1646
Reading and Writing Multi-digit Numbers,Number Sense and Numeration,Write out the number 456 as words.,Four hundred fifty-six,Four five six,Believes that numbers are read aloud digit by digit ,1647
Substitute positive integer values into expressions involving no powers or roots,Substitution into Formula,"When \( a=24 \)

\(
\frac{a}{6}=
\)",\( 4 \),\( -4 \),Believes dividing two positives will give a negative answer,1648
Convert recurring decimals to fractions,Number Theory,Convert \( 0.181818\ldots \) into a fraction.,\(\frac{2}{11}\),\(\frac{18}{99}\),Believes that all recurring decimals can be converted to a fraction by writing the digits of the decimal over 9,1649
Convert between hours and minutes,Time Measurement,\(1 \text{ hour and } 45 \text{ minutes} = \square \text{ minutes}\),\(105\),\(60\),Only includes full hours when measuring time in minutes,1650
Convert between km and m,Length Units,\( 5 \text{ kilometres} = \square \text{ metres} \),\( 5000 \),\( 0.005 \),Multiplies when converting to a larger unit,1651
Calculate perimeter with mixed units,Perimeter Calculation,A rectangle has sides of length \( 5 \) cm and \( 20 \) mm. What is the perimeter of the rectangle in millimetres?,\( 140 \mathrm{~mm} \),\( 1100 \mathrm{~mm} \),Thinks there are 100mm in a centimetre,1652
Allocate participants proportionately across strata with different populations,Statistics: Stratified Sampling,"A researcher is conducting a survey in a school with two grades. Grade 7 has 120 students, and Grade 8 has 180 students. The researcher aims to select a total of 50 students for the survey, proportionally distributed across both grades. How many students should be selected from each grade?",Grade 7: 20 students; Grade 8: 30 students,Grade 7: 25 students; Grade 8: 25 students,Misunderstands how to adjust proportions for different sample sizes in stratified sampling,1653
"Understanding transformations of functions, particularly reflections",Functions and Graph Transformations,The graph of the function \( f(x) = x^2 + 3x - 5 \) is given. Sketch the graph of \( y = f(-x) \).,"The correct transformation is a reflection of the original function over the y-axis. Thus, the new equation is \( y = (-x)^2 + 3(-x) - 5 = x^2 - 3x - 5 \).","The incorrect transformation is taken as a reflection over the line \( y = -x \), which would imply swapping \( x \) and \( y \), but this would result in a misunderstanding of the function domain and range. The incorrect graph could be a reflection over a diagonal line that does not accurately represent \( y = f(-x) \).",Believes y=f(-x) is a reflection in y=-x,1654
Find the sum of fractions as part of a word problem,Adding and Subtracting Fractions,Sarah bought \( \frac{3}{4} \) of a pound of strawberries and \( \frac{2}{5} \) of a pound of blueberries. How many pounds of fruit did she buy in total?,\( \frac{23}{20} = 1\frac{3}{20} \) pounds,\( \frac{5}{20} = \frac{1}{4} \) pounds,"When adding fractions, changes to common denominator but leaves numerators the same",1655
Line Equations from Points,Geometry/Coordinate Geometry,"A line passes through point \( A(3, 5) \). What is the equation of this line? Explain your reasoning.","The problem cannot be solved with just one point. To uniquely determine the equation of a line, you need at least two points. Without a second point or additional information such as the slope or y-intercept, there are infinitely many lines that can pass through point \( A(3, 5) \).","One possible incorrect answer might be: ""The equation of the line is \( y = 5 \), because the line passes through point \( A(3, 5) \) and has the same y-coordinate as A.""",Believes that one point is enough to specify a line,1656
Recognise that the diameter is twice the radius,Geometry of Circles,"If the diameter of a circular garden is \( 16 \mathrm{~m} \), what is the radius of the garden?",\( 8 \mathrm{~m} \),\( 32 \mathrm{~m} \),Doubles the diameter when finding the radius,1657
"Calculate the distance between two coordinates in 2D, where the coordinates are in different quadrants",Distance Between Two Co-ordinates,"Samantha is working out the distance between these two points. She is confused about which theorem to apply. Which theorem should she use? ![The image is of two points (-5, 8) and (3, -1) joined by a line, with a rectangle created using horizontal and vertical lines.]()",Pythagorean Theorem,Area Theorem,Does not link Pythagoras Theorem to finding distance between two points,1658
Converting one part of a ratio into a whole amount,Unitary Method in Ratios,"A recipe requires a ratio of \(2:3\) of sugar to flour. If you use \(150\) grams of sugar, how much flour is needed?",\(225\) grams,\(75\) grams,Finds one part of a ratio but doesn't multiply that by the number of parts needed,1659
