QuestionId,ConstructName,SubjectName,CorrectAnswer,QuestionText,CorrectAnswerText,Option,AnswerText,MisconceptionId,Prompt
621,Solve problems involving adding a period of time on to a given start time,Time,D,"A coach takes \( 3 \) hours \( 50 \) minutes to complete a journey from Manchester to London.

If the coach leaves Manchester at 09:25, what time does it arrive in London?",\( 13: 15 \),A,\( 13: 25 \),,"Question: A coach takes \( 3 \) hours \( 50 \) minutes to complete a journey from Manchester to London.

If the coach leaves Manchester at 09:25, what time does it arrive in London?
Incorrect Answer: \( 13: 25 \)
Correct Answer: \( 13: 15 \)
Construct Name: Solve problems involving adding a period of time on to a given start time
Subject Name: Time

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
638,Represent a linear inequality with a single tail on a numberline,Inequalities on Number Lines,D,Which of the following diagrams represents \( x \leq 1 \) ?,"![A number line with integers from -5 to 5 marked on, with x as the axis label. There is a filled in circle above 1, with an arrow pointing to the right coming off it.]()",A,"![A number line with integers from -5 to 5 marked on, with x as the axis label. There is an empty circle above 1, with an arrow pointing to the right coming off it.]()",,"Question: Which of the following diagrams represents \( x \leq 1 \) ?
Incorrect Answer: ![A number line with integers from -5 to 5 marked on, with x as the axis label. There is an empty circle above 1, with an arrow pointing to the right coming off it.]()
Correct Answer: ![A number line with integers from -5 to 5 marked on, with x as the axis label. There is a filled in circle above 1, with an arrow pointing to the right coming off it.]()
Construct Name: Represent a linear inequality with a single tail on a numberline
Subject Name: Inequalities on Number Lines

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
640,Find missing angles in a scalene triangle,Angles in Triangles,C,What is the size of angle \( k \) ? ![A triangle with one angle of 40 degrees. One angle of 32 degrees and the third angle is labelled k. ](),\( 108\degree\),A,\( 72\degree\),,"Question: What is the size of angle \( k \) ? ![A triangle with one angle of 40 degrees. One angle of 32 degrees and the third angle is labelled k. ]()
Incorrect Answer: \( 72\degree\)
Correct Answer: \( 108\degree\)
Construct Name: Find missing angles in a scalene triangle
Subject Name: Angles in Triangles

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
658,Work out the y-intercept of a line from an accurate drawing,Finding the Gradient and Intercept of a Line from the Equation,B,"Use a graphing program (e.g. Desmos) to plot the following pairs of functions.
\[
y=x^{2} - 4 \quad \text { and } \quad y=x-4
\]

Tom says both functions are linear

Katie says both functions cross the \( y \)-axis at the same point

Who is correct?",Only Katie,A,"Only
Tom",,"Question: Use a graphing program (e.g. Desmos) to plot the following pairs of functions.
\[
y=x^{2} - 4 \quad \text { and } \quad y=x-4
\]

Tom says both functions are linear

Katie says both functions cross the \( y \)-axis at the same point

Who is correct?
Incorrect Answer: Only
Tom
Correct Answer: Only Katie
Construct Name: Work out the y-intercept of a line from an accurate drawing
Subject Name: Finding the Gradient and Intercept of a Line from the Equation

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
661,Calculate the area of a right-angled triangle where the dimensions are given in the same units,Area of Simple Shapes,B,"What is the area of this shape? ![Purple, right angled triangle on square grid with area of 5 square units. Base length 5 and perpendicular height 2]()",\( 5 \),A,\( 4.5 \),,"Question: What is the area of this shape? ![Purple, right angled triangle on square grid with area of 5 square units. Base length 5 and perpendicular height 2]()
Incorrect Answer: \( 4.5 \)
Correct Answer: \( 5 \)
Construct Name: Calculate the area of a right-angled triangle where the dimensions are given in the same units
Subject Name: Area of Simple Shapes

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
707,Read values off a real life graph,Real Life Graphs,B,"![A linear graph showing that 10 miles = £8. ]() The graph can be used to work out how much Kay's company pays her for travel.

Kay's company paid her \( £ 80 \)

How many miles did she travel?",\( 100 \),A,\( 96 \),,"Question: ![A linear graph showing that 10 miles = £8. ]() The graph can be used to work out how much Kay's company pays her for travel.

Kay's company paid her \( £ 80 \)

How many miles did she travel?
Incorrect Answer: \( 96 \)
Correct Answer: \( 100 \)
Construct Name: Read values off a real life graph
Subject Name: Real Life Graphs

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
709,Recognise the equations of vertical lines from a diagram,Horizontal and Vertical Lines,D,"What is the equation of this line? ![A coordinate grid with a red line drawn on passing through the points: (-2,-10) (-2,-2) (-2, 0) (-2,4) (-2,10)]()",\( x=-2 \),A,\( y=10 \),,"Question: What is the equation of this line? ![A coordinate grid with a red line drawn on passing through the points: (-2,-10) (-2,-2) (-2, 0) (-2,4) (-2,10)]()
Incorrect Answer: \( y=10 \)
Correct Answer: \( x=-2 \)
Construct Name: Recognise the equations of vertical lines from a diagram
Subject Name: Horizontal and Vertical Lines

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
714,Carry out a subtraction problem with positive integers where the answer is less than 0,Place Value,C,\( 609-1000= \),\( -391 \),A,\( -401 \),,"Question: \( 609-1000= \)
Incorrect Answer: \( -401 \)
Correct Answer: \( -391 \)
Construct Name: Carry out a subtraction problem with positive integers where the answer is less than 0
Subject Name: Place Value

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
719,Round integers to the nearest 100,"Rounding to the Nearest Whole (10, 100, etc)",C,What is \( \mathbf{3 2 0} 050 \) rounded to the nearest hundred?,\( 320100 \),A,\( 321000 \),,"Question: What is \( \mathbf{3 2 0} 050 \) rounded to the nearest hundred?
Incorrect Answer: \( 321000 \)
Correct Answer: \( 320100 \)
Construct Name: Round integers to the nearest 100
Subject Name: Rounding to the Nearest Whole (10, 100, etc)

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
727,Solve a linear equation using a function machine,Linear Sequences (nth term),B,"If I put the numbers \( 4 \) and \( 9 \) into this function machine, what comes out? ![Flow chart starting with instruction ""In"" inside a blue rimmed circle, then ""+ 5"" inside a red rimmed square, then ""double"" inside a red rimmed square and lastly,  ""Out"" inside a blue rimmed circle.]()",\( 18 \) and \( 28 \),A,\( 9 \) and \( 14 \),,"Question: If I put the numbers \( 4 \) and \( 9 \) into this function machine, what comes out? ![Flow chart starting with instruction ""In"" inside a blue rimmed circle, then ""+ 5"" inside a red rimmed square, then ""double"" inside a red rimmed square and lastly,  ""Out"" inside a blue rimmed circle.]()
Incorrect Answer: \( 9 \) and \( 14 \)
Correct Answer: \( 18 \) and \( 28 \)
Construct Name: Solve a linear equation using a function machine
Subject Name: Linear Sequences (nth term)

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
732,"Represent the solution to a graphical inequality involving a combination of vertical, horizontal and diagonal lines",Graphing Linear Inequalities (Shading Regions),C,"The diagram on the right shows the lines \( 2=x+y \) and \( x=y \)

Which of the following coordinates satisfies the following inequalities?
\[
2<x+y \text { and } x<y
\] ![A graph showing all 4 quadrants. x axis from -2 to 5 and y axis from -3 to 5. A red line from top left sloping downwards to bottom right, going through 2 on the x axis and 2 on the y axis. A black line going from bottom left sloping upwards to top right. Going through 0 on the x axis and 0 on the y axis (only one intercept) ]()","\( (1,3) \)",A,"\( (3,1) \)",,"Question: The diagram on the right shows the lines \( 2=x+y \) and \( x=y \)

Which of the following coordinates satisfies the following inequalities?
\[
2<x+y \text { and } x<y
\] ![A graph showing all 4 quadrants. x axis from -2 to 5 and y axis from -3 to 5. A red line from top left sloping downwards to bottom right, going through 2 on the x axis and 2 on the y axis. A black line going from bottom left sloping upwards to top right. Going through 0 on the x axis and 0 on the y axis (only one intercept) ]()
Incorrect Answer: \( (3,1) \)
Correct Answer: \( (1,3) \)
Construct Name: Represent the solution to a graphical inequality involving a combination of vertical, horizontal and diagonal lines
Subject Name: Graphing Linear Inequalities (Shading Regions)

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
747,Identify the line of symmetry of curves in the form (x + a)(x + b),Sketching from Factorised Form,C,"In which region would \( y=(x+4)(x-2) \) belong? ![A Venn diagram with two overlapping sets. The set on the left is 'Line of symmetry at x = 3' and the set on the right is 'y intercept is negative'. A is in only  'Line of symmetry at x = 3', B is in the intersection, C is in only 'y intercept is negative' and D is outside both sets.]()",C,A,A,,"Question: In which region would \( y=(x+4)(x-2) \) belong? ![A Venn diagram with two overlapping sets. The set on the left is 'Line of symmetry at x = 3' and the set on the right is 'y intercept is negative'. A is in only  'Line of symmetry at x = 3', B is in the intersection, C is in only 'y intercept is negative' and D is outside both sets.]()
Incorrect Answer: A
Correct Answer: C
Construct Name: Identify the line of symmetry of curves in the form (x + a)(x + b)
Subject Name: Sketching from Factorised Form

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
750,Simplify an algebraic fraction by factorising both the numerator and denominator,Simplifying Algebraic Fractions,D,"Simplify the following, if possible:
\(
\frac{3 m+15}{m^{2}-2 m+15}
\)",Does not simplify,A,\( \frac{3}{m-2} \),,"Question: Simplify the following, if possible:
\(
\frac{3 m+15}{m^{2}-2 m+15}
\)
Incorrect Answer: \( \frac{3}{m-2} \)
Correct Answer: Does not simplify
Construct Name: Simplify an algebraic fraction by factorising both the numerator and denominator
Subject Name: Simplifying Algebraic Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
751,Interpret a pie chart,Pie Chart,D,A darts player hits his target \( 40 \% \) of the time. Which pie chart represents his hits and misses?,"![Pie chart showing hits with just over 1/3 of the chart, highlighted in red and misses, in white, with just under 2/3]()",A,![Pie chart showing hits highlighted with 320 degrees of the chart and misses with 40 degrees.](),,"Question: A darts player hits his target \( 40 \% \) of the time. Which pie chart represents his hits and misses?
Incorrect Answer: ![Pie chart showing hits highlighted with 320 degrees of the chart and misses with 40 degrees.]()
Correct Answer: ![Pie chart showing hits with just over 1/3 of the chart, highlighted in red and misses, in white, with just under 2/3]()
Construct Name: Interpret a pie chart
Subject Name: Pie Chart

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
753,"Given a line segment, calculate the gradient where the gradient is a negative integer",Gradient as change in y over change in x,D,"What is the gradient of this line? ![A set of axes with a graph drawn on. The graph passes through the points (1,2) and (0,6).]()",\( -4 \),A,\( -1 \),,"Question: What is the gradient of this line? ![A set of axes with a graph drawn on. The graph passes through the points (1,2) and (0,6).]()
Incorrect Answer: \( -1 \)
Correct Answer: \( -4 \)
Construct Name: Given a line segment, calculate the gradient where the gradient is a negative integer
Subject Name: Gradient as change in y over change in x

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
755,Subtract decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,D,\( 70.04-0.1= \),\( 69.94 \),A,\( 69.93 \),,"Question: \( 70.04-0.1= \)
Incorrect Answer: \( 69.93 \)
Correct Answer: \( 69.94 \)
Construct Name: Subtract decimals where the numbers involved have a different number of decimal places
Subject Name: Adding and Subtracting with Decimals

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
762,Subtract fractions involving mixed number fractions with different denominators,Adding and Subtracting Fractions,B,\( 5 \frac{3}{5}-2 \frac{1}{2}= \) Leave your answer as a mixed number,\( 3 \frac{1}{10} \),A,\( \frac{23}{3} \),,"Question: \( 5 \frac{3}{5}-2 \frac{1}{2}= \) Leave your answer as a mixed number
Incorrect Answer: \( \frac{23}{3} \)
Correct Answer: \( 3 \frac{1}{10} \)
Construct Name: Subtract fractions involving mixed number fractions with different denominators
Subject Name: Adding and Subtracting Fractions

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
764,Identify common multiples of two numbers,Multiples and Lowest Common Multiple,B,"""Common multiples of \( 2 \) and \( 5 \) are also multiples of \( 25 "" \)
Is this statement...",sometimes true,A,always true,,"Question: ""Common multiples of \( 2 \) and \( 5 \) are also multiples of \( 25 "" \)
Is this statement...
Incorrect Answer: always true
Correct Answer: sometimes true
Construct Name: Identify common multiples of two numbers
Subject Name: Multiples and Lowest Common Multiple

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
766,Interpret numbers in a frequency table,Frequency tables,D,"Dave has recorded the number of pets his classmates have in the frequency table on the right. \begin{tabular}{|c|c|}
\hline Number of pets & Frequency \\
\hline \( 0 \) & \( 4 \) \\
\hline \( 1 \) & \( 6 \) \\
\hline \( 2 \) & \( 3 \) \\
\hline \( 3 \) & \( 2 \) \\
\hline \( 4 \) & \( 5 \) \\
\hline
\end{tabular} How many people did Dave record the results of?",\( 20 \),A,\( 4 \),,"Question: Dave has recorded the number of pets his classmates have in the frequency table on the right. \begin{tabular}{|c|c|}
\hline Number of pets & Frequency \\
\hline \( 0 \) & \( 4 \) \\
\hline \( 1 \) & \( 6 \) \\
\hline \( 2 \) & \( 3 \) \\
\hline \( 3 \) & \( 2 \) \\
\hline \( 4 \) & \( 5 \) \\
\hline
\end{tabular} How many people did Dave record the results of?
Incorrect Answer: \( 4 \)
Correct Answer: \( 20 \)
Construct Name: Interpret numbers in a frequency table
Subject Name: Frequency tables

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
771,Recognise graphical representations of inverse proportion in the form y = k/x,Indirect (Inverse) Proportion,C,Which of the following graphs is most likely to illustrate the time taken to complete a job \( (t) \) changes depending on the number of people working on it \( (p) \),![A curved line from top left rapidly descending as it moves right before slowing down and levelling out ](),A,"![A straight line from bottom left to top right, starting from above the origin ]()",,"Question: Which of the following graphs is most likely to illustrate the time taken to complete a job \( (t) \) changes depending on the number of people working on it \( (p) \)
Incorrect Answer: ![A straight line from bottom left to top right, starting from above the origin ]()
Correct Answer: ![A curved line from top left rapidly descending as it moves right before slowing down and levelling out ]()
Construct Name: Recognise graphical representations of inverse proportion in the form y = k/x
Subject Name: Indirect (Inverse) Proportion

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
775,Convert from minutes to hours,Time,D,\( 3 \) hours \( +700 \) minutes \( = \),\( 14 \) hours and \( 40 \) minutes,A,\( 11 \) hours and \( 40 \) minutes,,"Question: \( 3 \) hours \( +700 \) minutes \( = \)
Incorrect Answer: \( 11 \) hours and \( 40 \) minutes
Correct Answer: \( 14 \) hours and \( 40 \) minutes
Construct Name: Convert from minutes to hours
Subject Name: Time

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
777,Construct an angle of 60° using a ruler and a compass,Construct Triangle,C,Which of the following best describes how to construct an angle of \( 60^{\circ} \) using a ruler and a pair of compasses?,"- Draw a straight line with a ruler
- Set the compasses to a width equal to the length of the line
- Draw an arc above the line from one end of the line
- Do the same from the other end of the line 
- Draw a straight line from the ends of each line to where the arcs intersect",A,"- Draw a straight line with a ruler
- Set the compasses to a width equal to the length of the line
- Draw an arc above the line from one end of the line
- Do the same from the other end of the line 
- Draw a straight line from the ends of each line to where the arcs intersect 
- Bisect the angle created",,"Question: Which of the following best describes how to construct an angle of \( 60^{\circ} \) using a ruler and a pair of compasses?
Incorrect Answer: - Draw a straight line with a ruler
- Set the compasses to a width equal to the length of the line
- Draw an arc above the line from one end of the line
- Do the same from the other end of the line 
- Draw a straight line from the ends of each line to where the arcs intersect 
- Bisect the angle created
Correct Answer: - Draw a straight line with a ruler
- Set the compasses to a width equal to the length of the line
- Draw an arc above the line from one end of the line
- Do the same from the other end of the line 
- Draw a straight line from the ends of each line to where the arcs intersect
Construct Name: Construct an angle of 60° using a ruler and a compass
Subject Name: Construct Triangle

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
783,"Given a sketch of a quadratic graph in the form (x + p)² + q, work out its completed the square form",Sketching from Completing the Square Form,C,"Sally wants to write the equation of the curve in the form \( y=(\boldsymbol{x}+\boldsymbol{p})^{2}+\boldsymbol{q} \).
What is the value of \( \boldsymbol{q} \) ? ![A set of axes with a quadratic curve drawn on. The curve is y=x^2 translated 2 squares to the right and 9 squares down.]()",\( -9 \),A,\( -2 \),,"Question: Sally wants to write the equation of the curve in the form \( y=(\boldsymbol{x}+\boldsymbol{p})^{2}+\boldsymbol{q} \).
What is the value of \( \boldsymbol{q} \) ? ![A set of axes with a quadratic curve drawn on. The curve is y=x^2 translated 2 squares to the right and 9 squares down.]()
Incorrect Answer: \( -2 \)
Correct Answer: \( -9 \)
Construct Name: Given a sketch of a quadratic graph in the form (x + p)² + q, work out its completed the square form
Subject Name: Sketching from Completing the Square Form

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
792,"Given a positive y value, find an x value in a table of values for lines in the form ax + by = c",Plotting Lines from Tables of Values,C,"This is a part of the table of values for the equation
\[
2 x+3 y=12
\] \begin{tabular}{|c|c|}
\hline\( x \) &  \( \bigstar \) \\
\hline\( y \) & \( 0 \) \\
\hline
\end{tabular} What should replace the star?",\( 6 \),A,\( 2 \),,"Question: This is a part of the table of values for the equation
\[
2 x+3 y=12
\] \begin{tabular}{|c|c|}
\hline\( x \) &  \( \bigstar \) \\
\hline\( y \) & \( 0 \) \\
\hline
\end{tabular} What should replace the star?
Incorrect Answer: \( 2 \)
Correct Answer: \( 6 \)
Construct Name: Given a positive y value, find an x value in a table of values for lines in the form ax + by = c
Subject Name: Plotting Lines from Tables of Values

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
793,"Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative",Distance Between Two Co-ordinates,B,"Amy is trying to work out the distance between these two points: \( (1,-6) \) and \( (-5,2) \) She wants to use a formula.

Which formula should she use?",\( \sqrt{\left(x_{2}-x_{1}\right)^{2}+\left(y_{2}-y_{1}\right)^{2}} \),A,\( \sqrt{\left(x_{2}+x_{1}\right)^{2}-\left(y_{2}+y_{1}\right)^{2}} \),,"Question: Amy is trying to work out the distance between these two points: \( (1,-6) \) and \( (-5,2) \) She wants to use a formula.

Which formula should she use?
Incorrect Answer: \( \sqrt{\left(x_{2}+x_{1}\right)^{2}-\left(y_{2}+y_{1}\right)^{2}} \)
Correct Answer: \( \sqrt{\left(x_{2}-x_{1}\right)^{2}+\left(y_{2}-y_{1}\right)^{2}} \)
Construct Name: Calculate the distance between two coordinates in 2D, where all the values are integers but at least one is negative
Subject Name: Distance Between Two Co-ordinates

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
795,Solve problems that combine addition and subtraction,Combining Operations,C,"Amy is collecting shells on the beach. She collected \( 16 \) shells on Monday. She collected \( 11 \) less shells on Tuesday than on Monday.
How many shells does Amy have altogether?",\( 21 \),A,\( 43 \),,"Question: Amy is collecting shells on the beach. She collected \( 16 \) shells on Monday. She collected \( 11 \) less shells on Tuesday than on Monday.
How many shells does Amy have altogether?
Incorrect Answer: \( 43 \)
Correct Answer: \( 21 \)
Construct Name: Solve problems that combine addition and subtraction
Subject Name: Combining Operations

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
797,Calculate questions involving the power law of indices with negative integer powers,Graphs of Exponentials and Other Powers of x,C,"Tom and Katie are discussing \( \boldsymbol{y}=\mathbf{3}^{\boldsymbol{x}} \)
Tom says there is no value of \( x \) that can make \( y \) negative.
Katie says there is no value of \( x \) that can make \( y \) equal to \( 0 \).
Who is correct?",Both Tom and Katie,A,Only Tom,,"Question: Tom and Katie are discussing \( \boldsymbol{y}=\mathbf{3}^{\boldsymbol{x}} \)
Tom says there is no value of \( x \) that can make \( y \) negative.
Katie says there is no value of \( x \) that can make \( y \) equal to \( 0 \).
Who is correct?
Incorrect Answer: Only Tom
Correct Answer: Both Tom and Katie
Construct Name: Calculate questions involving the power law of indices with negative integer powers
Subject Name: Graphs of Exponentials and Other Powers of x

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
798,Multiply an integer and an algebraic term ,Expanding Double Brackets,D,"John is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![\( (x+5)(x-3) \)]()",\( -3 x \),A,\( x+3 \),,"Question: John is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![\( (x+5)(x-3) \)]()
Incorrect Answer: \( x+3 \)
Correct Answer: \( -3 x \)
Construct Name: Multiply an integer and an algebraic term 
Subject Name: Expanding Double Brackets

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
801,Interpret numbers in a frequency table,Averages and Range from Frequency Table,B,"The frequency table shows the grade achieved by some students in a maths exam.
How many more students achieved a grade \( 5 \) than a grade \( 1 \) ? ![\begin{tabular}{|c|c|}
\hline Grade & Frequency \\
\hline \( 1 \) & \( 4 \) \\
\hline \( 2 \) & \( 5 \) \\
\hline \( 3 \) & \( 1 \) \\
\hline \( 4 \) & \( 8 \) \\
\hline \( 5 \) & \( 10 \) \\
\hline
\end{tabular}]()",\( 6 \),A,\( 5 \),,"Question: The frequency table shows the grade achieved by some students in a maths exam.
How many more students achieved a grade \( 5 \) than a grade \( 1 \) ? ![\begin{tabular}{|c|c|}
\hline Grade & Frequency \\
\hline \( 1 \) & \( 4 \) \\
\hline \( 2 \) & \( 5 \) \\
\hline \( 3 \) & \( 1 \) \\
\hline \( 4 \) & \( 8 \) \\
\hline \( 5 \) & \( 10 \) \\
\hline
\end{tabular}]()
Incorrect Answer: \( 5 \)
Correct Answer: \( 6 \)
Construct Name: Interpret numbers in a frequency table
Subject Name: Averages and Range from Frequency Table

Your task: Identify the misconception behind Incorrect Answer. Answer concisely and generically inside <response>$$INSERT TEXT HERE$$</response>.
Before answering the question_1020 think step by step concisely in 1-2 sentence inside <thinking>$$INSERT TEXT HERE$$</thinking> tag and respond your final misconception inside <response>$$INSERT TEXT HERE$$</response> tag."
